combo,componente,mult
CR0080000RONDI1 + CR0020000049010,CR0020000049010,1
CR0080000RONDI1 + CR0020000049015,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000049015,CR0020000049015,1
CR0080000RONDI1 + CR0020000049030,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000049030,CR0020000049030,1
CR0080000RONDI1 + CR0020000054001,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000054001,CR0020000054001,1
CR0080000RONDI1 + CR0020000077039,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000077039,CR0020000077039,1
CR0080000RONDI1 + CR0020000078030,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000078030,CR0020000078030,1
CR0080000RONDI1 + CR0020000078031,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000078031,CR0020000078031,1
CR0080000RONDI1 + CR0020000078035,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000078035,CR0020000078035,1
CR0080000RONDI1 + CR0020000079010,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000079010,CR0020000079010,1
CR0080000RONDI1 + CR0020000079015,CR0080000RONDI1,1
CR0080000RONDI1 + CR0020000079015,CR0020000079015,1
CR0080000RONDI1 + CR014000017040N,CR0080000RONDI1,1
CR0080000RONDI1 + CR014000017040N,CR014000017040N,1
CR0080000RONDI1 + CR014000080151P,CR0080000RONDI1,1
CR0080000RONDI1 + CR014000080151P,CR014000080151P,1
CR0080000RONDI1 + CR01400192040GN,CR0080000RONDI1,1
CR0080000RONDI1 + CR01400192040GN,CR01400192040GN,1
CR0080000RONDI1 + CR01400193070GN,CR0080000RONDI1,1
CR0080000RONDI1 + CR01400193070GN,CR01400193070GN,1
CR016000000000ZAP10B + CR0080000RONDI2,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR0080000RONDI2,CR0080000RONDI2,1
CR0180010411100 + CR0080000RONDI1,CR0180010411100,1
CR0180010411100 + CR0080000RONDI1,CR0080000RONDI1,1
CR0180106151202 + CR0080000RONDI1,CR0180106151202,1
CR0180106151202 + CR0080000RONDI1,CR0080000RONDI1,1
CR0180111123200 + CR0080000RONDI1,CR0180111123200,1
CR0180111123200 + CR0080000RONDI1,CR0080000RONDI1,1
CR0080000RONDI1 + CR0181131500200,CR0080000RONDI1,1
CR0080000RONDI1 + CR0181131500200,CR0181131500200,1
CR04100000011A1102NG + CR0080000RONDI1,CR04100000011A1102NG,1
CR04100000011A1102NG + CR0080000RONDI1,CR0080000RONDI1,1
CR0080000RONDI1 + CR041000000021A1051P,CR0080000RONDI1,1
CR0080000RONDI1 + CR041000000021A1051P,CR041000000021A1051P,1
CR041000000000121062 + CR0080000RONDI1,CR041000000000121062,1
CR041000000000121062 + CR0080000RONDI1,CR0080000RONDI1,1
CR041000000000101042 + CR0080000RONDI1,CR041000000000101042,1
CR041000000000101042 + CR0080000RONDI1,CR0080000RONDI1,1
CR041000000000291042 + CR0080000RONDI1,CR041000000000291042,1
CR041000000000291042 + CR0080000RONDI1,CR0080000RONDI1,1
CR041000000000101062 + CR0080000RONDI1,CR041000000000101062,1
CR041000000000101062 + CR0080000RONDI1,CR0080000RONDI1,1
CR04100000011A1102NG + CR0080000RONDI2,CR04100000011A1102NG,1
CR04100000011A1102NG + CR0080000RONDI2,CR0080000RONDI2,1
CR0080000RONDI2 + CR041000000021A1051P,CR0080000RONDI2,1
CR0080000RONDI2 + CR041000000021A1051P,CR041000000021A1051P,1
CR041000000000121062 + CR0080000RONDI2,CR041000000000121062,1
CR041000000000121062 + CR0080000RONDI2,CR0080000RONDI2,1
CR041000000000101042 + CR0080000RONDI2,CR041000000000101042,1
CR041000000000101042 + CR0080000RONDI2,CR0080000RONDI2,1
CR041000000000291042 + CR0080000RONDI2,CR041000000000291042,1
CR041000000000291042 + CR0080000RONDI2,CR0080000RONDI2,1
CR041000000000101062 + CR0080000RONDI2,CR041000000000101062,1
CR041000000000101062 + CR0080000RONDI2,CR0080000RONDI2,1
CR016000000000ZAP10B + CR014000017040N,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR014000017040N,CR014000017040N,1
CR016000000000ZAP10B + CR014000080151P,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR014000080151P,CR014000080151P,1
CR016000000000ZAP10B + CR01400192040GN,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR01400192040GN,CR01400192040GN,1
CR016000000000ZAP10B + CR01400193070GN,CR016000000000ZAP10B,1
CR016000000000ZAP10B + CR01400193070GN,CR01400193070GN,1
CR0150001001152 x 10 unidades,CR0150001001152,10
CR0150001001153 x 10 unidades,CR0150001001153,10
CR0150001001154 x 10 unidades,CR0150001001154,10
CR0150001001156 x 10 unidades,CR0150001001156,10
CR01600000000PBDP25T x 5 unidades,CR01600000000PBDP25T,5
CR01600000000SLTP5MI x 2 unidades,CR01600000000SLTP5MI,2
CR016000000ARNFL1X3T x 15 unidades,CR016000000ARNFL1X3T,15
CR0160000000GFXU280T x 12 unidades,CR0160000000GFXU280T,12
CR0160000000GFXC280T x 12 unidades,CR0160000000GFXC280T,12
CR01600000000PSC310A x 12 unidades,CR01600000000PSC310A,12
CR0160000000ARNFL3GT x 5 unidades,CR0160000000ARNFL3GT,5
CR01600000000ARNFL2T x 5 unidades,CR01600000000ARNFL2T,5
CR01600000000SLTE5BI x 5 unidades,CR01600000000SLTE5BI,5
CR01600000DSDS80115C x 10 unidades,CR01600000DSDS80115C,10
CR0160000DSA4CP18016 x 10 unidades,CR0160000DSA4CP18016,10
CR01600000000SLTD5BI x 5 unidades,CR01600000000SLTD5BI,5
CR01600000DSA4CP1151 x 10 unidades,CR01600000DSA4CP1151,10
CR01600000000SMZ300A x 12 unidades,CR01600000000SMZ300A,12
CR01600000DSA4CP1151 x 100 unidades,CR01600000DSA4CP1151,100
CR0160000DSA4CP11516 x 100 unidades,CR0160000DSA4CP11516,100
CR0160000DSA4CP11516 x 10 unidades,CR0160000DSA4CP11516,10
CR016000000000MTJ400 x 2 unidades,CR016000000000MTJ400,2
CR016000000000SLTEAM x 10 unidades,CR016000000000SLTEAM,10
CR0160000000000SLTDM x 3 unidades,CR0160000000000SLTDM,3
CR01600000000SLTP5BI x 2 unidades,CR01600000000SLTP5BI,2
CR016000000CABR1000N x 5 unidades,CR016000000CABR1000N,5
CR01600000000SLTE5MI x 2 unidades,CR01600000000SLTE5MI,2
CR01600000000SLTE5BI x 2 unidades,CR01600000000SLTE5BI,2
CR0160000000000SLTEA x 10 unidades,CR0160000000000SLTEA,10
CR016000000000CABP8N x 5 unidades,CR016000000000CABP8N,5
CR01600000CHMG30UT17 x 2 unidades,CR01600000CHMG30UT17,2
CR01600000000SLTD5MI x 5 unidades,CR01600000000SLTD5MI,5
CR01600000000SLTD5MI x 2 unidades,CR01600000000SLTD5MI,2
CR01600000CHMG30UT17 x 2 unidades + CR01600000000CPX2100,CR01600000CHMG30UT17,2
CR01600000CHMG30UT17 x 2 unidades + CR01600000000CPX2100,CR01600000000CPX2100,1
CR01600000GMXACR280B x 2 unidades,CR01600000GMXACR280B,2
CR01600000000CDBAR30 x 4 unidades,CR01600000000CDBAR30,4
CR0160000000GMXM280P x 12 unidades,CR0160000000GMXM280P,12
CR0160000000GMXM280N x 12 unidades,CR0160000000GMXM280N,12
CR0160000000GMXJ280T x 2 unidades,CR0160000000GMXJ280T,2
CR01600000000SMZ300A x 5 unidades,CR01600000000SMZ300A,5
CR01600000000CABP12N x 20 unidades,CR01600000000CABP12N,20
CR01600000000CPX2100 + CR01600000CHMG30UN17 x 2 unidades,CR01600000000CPX2100,1
CR01600000000CPX2100 + CR01600000CHMG30UN17 x 2 unidades,CR01600000CHMG30UN17,2
CR01600000000CABP12N x 10 unidades,CR01600000000CABP12N,10
CR0160000000GFXU280N x 12 unidades,CR0160000000GFXU280N,12
CR0160000DSA4CP11516 x 5 unidades,CR0160000DSA4CP11516,5
CR016000000000CPX300 + CR01600000CHMG30UT17 x 2 unidades,CR016000000000CPX300,1
CR016000000000CPX300 + CR01600000CHMG30UT17 x 2 unidades,CR01600000CHMG30UT17,2
CR01600000CHMG30UN17 x 2 unidades,CR01600000CHMG30UN17,2
CR016000000CTAMCA5B3 x 6 unidades,CR016000000CTAMCA5B3,6
CR01600000CTAMCA5B75 x 6 unidades,CR01600000CTAMCA5B75,6
CR016000000CTAMCA5B5 x 6 unidades,CR016000000CTAMCA5B5,6
CR0160000000GPUC310G x 12 unidades,CR0160000000GPUC310G,12
CR016000000CDBC330AR x 2 unidades,CR016000000CDBC330AR,2
CR016000000CDBC320AR x 2 unidades,CR016000000CDBC320AR,2
CR01600000000CDBBS40 x 2 unidades,CR01600000000CDBBS40,2
CR01600000000CDBAR40 x 2 unidades,CR01600000000CDBAR40,2
CR0160000000GPUC310G x 2 unidades,CR0160000000GPUC310G,2
CR016000000CABR1000N x 10 unidades,CR016000000CABR1000N,10
CR01600000CABR10008N x 10 unidades,CR01600000CABR10008N,10
CR016000000000PBD125 x 2 unidades,CR016000000000PBD125,2
CR01600000GMXACR110B x 3 unidades,CR01600000GMXACR110B,3
CR01600000000PRTL2FP x 4 unidades,CR01600000000PRTL2FP,4
CR0160000000000PBD50 x 3 unidades,CR0160000000000PBD50,3
CR01600000000SMZ300A x 2 unidades,CR01600000000SMZ300A,2
CR016000000000PBD400 x 2 unidades,CR016000000000PBD400,2
CR01600000000SLTD5BI x 2 unidades,CR01600000000SLTD5BI,2
CR01600000000000SLTD x 3 unidades,CR01600000000000SLTD,3
CR01600000CHMF30UN41 x 2 unidades,CR01600000CHMF30UN41,2
CR016000000000PVN25B x 2 unidades,CR016000000000PVN25B,2
CR016000000000MTJ150 x 4 unidades,CR016000000000MTJ150,4
CR016000000SBDTR100E x 4 unidades,CR016000000SBDTR100E,4
CR0160000000SBDTR25T x 5 unidades,CR0160000000SBDTR25T,5
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR016000DES8PHA1X100 + CR0160000DES8RA4X100 + CR016000DES8RA55X125,CR016000DES8PHA2X100,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR016000DES8PHA1X100 + CR0160000DES8RA4X100 + CR016000DES8RA55X125,CR016000DES8PHA2X150,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR016000DES8PHA1X100 + CR0160000DES8RA4X100 + CR016000DES8RA55X125,CR016000DES8PHA1X100,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR016000DES8PHA1X100 + CR0160000DES8RA4X100 + CR016000DES8RA55X125,CR0160000DES8RA4X100,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR016000DES8PHA1X100 + CR0160000DES8RA4X100 + CR016000DES8RA55X125,CR016000DES8RA55X125,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR0160000DES7PL5X125,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR0160000DES7PL5X150,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR0160000DES7PL6X100,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR01600000DES7PL4X75,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR0160000DES7PL4X100,1
CR0160000DES7PL5X125 + CR0160000DES7PL5X150 + CR0160000DES7PL6X100 + CR01600000DES7PL4X75 + CR0160000DES7PL4X100 + CR0160000DES7PL5X100,CR0160000DES7PL5X100,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR01600000DES8PH0X75 + CR016000DES8PHA1X100,CR016000DES8PHA2X100,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR01600000DES8PH0X75 + CR016000DES8PHA1X100,CR016000DES8PHA2X150,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR01600000DES8PH0X75 + CR016000DES8PHA1X100,CR01600000DES8PH0X75,1
CR016000DES8PHA2X100 + CR016000DES8PHA2X150 + CR01600000DES8PH0X75 + CR016000DES8PHA1X100,CR016000DES8PHA1X100,1
CR01600000000CDBAS40 + CR016000000000CAD385,CR01600000000CDBAS40,1
CR01600000000CDBAS40 + CR016000000000CAD385,CR016000000000CAD385,1
CR01600000JDS8AZESTA + CR0160000000JDS8BHTA + CR0160000000JDS8PLTA,CR01600000JDS8AZESTA,1
CR01600000JDS8AZESTA + CR0160000000JDS8BHTA + CR0160000000JDS8PLTA,CR0160000000JDS8BHTA,1
CR01600000JDS8AZESTA + CR0160000000JDS8BHTA + CR0160000000JDS8PLTA,CR0160000000JDS8PLTA,1
CR01600000CHMF30UT14 + CR01600000000CPHX100,CR01600000CHMF30UT14,1
CR01600000CHMF30UT14 + CR01600000000CPHX100,CR01600000000CPHX100,1
CR01600000000CABP12N + CR0160000000CABPROPR,CR01600000000CABP12N,1
CR01600000000CABP12N + CR0160000000CABPROPR,CR0160000000CABPROPR,1
CR0160000000CABPROPR + CR016000000000CABP8N,CR0160000000CABPROPR,1
CR0160000000CABPROPR + CR016000000000CABP8N,CR016000000000CABP8N,1
CR01600000CHMG30UN17 + CR01600000000CPX2100,CR01600000CHMG30UN17,1
CR01600000CHMG30UN17 + CR01600000000CPX2100,CR01600000000CPX2100,1
CR016000000000CPX300 + CR01600000CHMG30UN17,CR016000000000CPX300,1
CR016000000000CPX300 + CR01600000CHMG30UN17,CR01600000CHMG30UN17,1
CR01600000CHMF30UT14 + CR0160000000CPHX200R,CR01600000CHMF30UT14,1
CR01600000CHMF30UT14 + CR0160000000CPHX200R,CR0160000000CPHX200R,1
CR01600000000CPX2100 + CR01600000CHMG30UT17,CR01600000000CPX2100,1
CR01600000000CPX2100 + CR01600000CHMG30UT17,CR01600000CHMG30UT17,1
CR01600000CHMG30UT17 + CR016000000000CPX300,CR01600000CHMG30UT17,1
CR01600000CHMG30UT17 + CR016000000000CPX300,CR016000000000CPX300,1
CR016000000CDBC565CA + CR016000000CDBC565CR,CR016000000CDBC565CA,1
CR016000000CDBC565CA + CR016000000CDBC565CR,CR016000000CDBC565CR,1
CR01600000000CDBAS50 + CR016000000000CAD381,CR01600000000CDBAS50,1
CR01600000000CDBAS50 + CR016000000000CAD381,CR016000000000CAD381,1
CR01600000000CDBAS50 + CR016000000000CAD141,CR01600000000CDBAS50,1
CR01600000000CDBAS50 + CR016000000000CAD141,CR016000000000CAD141,1
CR0160000000CDBMS72B + CR016000000000CAD381,CR0160000000CDBMS72B,1
CR0160000000CDBMS72B + CR016000000000CAD381,CR016000000000CAD381,1
CR01600000DES1000A9B + CR0160000000ELPEL6AL,CR01600000DES1000A9B,1
CR01600000DES1000A9B + CR0160000000ELPEL6AL,CR0160000000ELPEL6AL,1
CR016000000CDBC565CA + CR016000000000CAD141,CR016000000CDBC565CA,1
CR016000000CDBC565CA + CR016000000000CAD141,CR016000000000CAD141,1
CR01600000CHMF30UT41 + CR01600000CHMG30UN17,CR01600000CHMF30UT41,1
CR01600000CHMF30UT41 + CR01600000CHMG30UN17,CR01600000CHMG30UN17,1
CR016000000CDBC440AR + CR016000000000CAD381,CR016000000CDBC440AR,1
CR016000000CDBC440AR + CR016000000000CAD381,CR016000000000CAD381,1
CR0160000000PZAS6PL6 + CR016000000PZAS6PL10,CR0160000000PZAS6PL6,1
CR0160000000PZAS6PL6 + CR016000000PZAS6PL10,CR016000000PZAS6PL10,1
CR01600000CHMF10UT25 + CR01600000000CPHX100,CR01600000CHMF10UT25,1
CR01600000CHMF10UT25 + CR01600000000CPHX100,CR01600000000CPHX100,1
CR0160000000CDBWR50L + CR01600000000CAD3815,CR0160000000CDBWR50L,1
CR0160000000CDBWR50L + CR01600000000CAD3815,CR01600000000CAD3815,1
CR0160000DES8PL5X100 + CR01600000DES8PH1X50 + CR01600000DES8PH1X75 + CR0160000DES8PH2X100 + CR01600000DES8PH0X75,CR0160000DES8PL5X100,1
CR0160000DES8PL5X100 + CR01600000DES8PH1X50 + CR01600000DES8PH1X75 + CR0160000DES8PH2X100 + CR01600000DES8PH0X75,CR01600000DES8PH1X50,1
CR0160000DES8PL5X100 + CR01600000DES8PH1X50 + CR01600000DES8PH1X75 + CR0160000DES8PH2X100 + CR01600000DES8PH0X75,CR01600000DES8PH1X75,1
CR0160000DES8PL5X100 + CR01600000DES8PH1X50 + CR01600000DES8PH1X75 + CR0160000DES8PH2X100 + CR01600000DES8PH0X75,CR0160000DES8PH2X100,1
CR0160000DES8PL5X100 + CR01600000DES8PH1X50 + CR01600000DES8PH1X75 + CR0160000DES8PH2X100 + CR01600000DES8PH0X75,CR01600000DES8PH0X75,1
CR0160000000GFXU110T + CR0160000MPXEXA10100 + CR016000000000000EXA + CR016000000SBDTR100E + CR01600000000ARNFL2B,CR0160000000GFXU110T,1
CR0160000000GFXU110T + CR0160000MPXEXA10100 + CR016000000000000EXA + CR016000000SBDTR100E + CR01600000000ARNFL2B,CR0160000MPXEXA10100,1
CR0160000000GFXU110T + CR0160000MPXEXA10100 + CR016000000000000EXA + CR016000000SBDTR100E + CR01600000000ARNFL2B,CR016000000000000EXA,1
CR0160000000GFXU110T + CR0160000MPXEXA10100 + CR016000000000000EXA + CR016000000SBDTR100E + CR01600000000ARNFL2B,CR016000000SBDTR100E,1
CR0160000000GFXU110T + CR0160000MPXEXA10100 + CR016000000000000EXA + CR016000000SBDTR100E + CR01600000000ARNFL2B,CR01600000000ARNFL2B,1
CR0160000DES8RT4X150 + CR01600000DES8RT4X75 + CR0160000DES8RT4X200,CR0160000DES8RT4X150,1
CR0160000DES8RT4X150 + CR01600000DES8RT4X75 + CR0160000DES8RT4X200,CR01600000DES8RT4X75,1
CR0160000DES8RT4X150 + CR01600000DES8RT4X75 + CR0160000DES8RT4X200,CR0160000DES8RT4X200,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR01600000000CCTR3GR,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000000ARNFL3GB,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR016000DES8PHA2X150,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR016000000CTAMCA5B5,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR016000000SPXSA25AE,1
CR01600000000CCTR3GR + CR0160000000ARNFL3GB + CR016000DES8PHA2X150 + CR016000000CTAMCA5B5 + CR016000000SPXSA25AE + CR0160000000GFXU110T + CR016000000SBDTR100E + CR0160000MPXEXA10100 + CR0160000DES7PL4X125 + CR0160000000PZAS6PL6 + CR016000000MTS6PFV18 + CR0160000000PZAS6PU6 + CR0160000000PZAS6AL6 + CR0160000DES8PL5X100 + CR0160000DES8PH2X100,CR0160000000GFXU110T,1
